x,y,z
27.441,22.888,0.022
35.759,18.846,-0.007
30.138,35.117,-0.009
27.244,10.366,-0.017
21.183,3.714,-0.005
32.295,18.301,-0.014
21.879,17.032,-0.0
44.589,6.026,-0.006
48.183,42.728,0.037
19.172,33.407,-0.005
39.586,1.29,0.032
26.445,27.008,-0.012
28.402,7.69,-0.004
46.28,25.561,-0.005
3.552,38.563,-0.003
4.356,20.653,-0.024
1.011,29.843,-0.009
41.631,27.322,0.008
38.908,28.88,0.006
43.501,23.906,0.007
48.931,8.352,-0.01
39.958,12.081,-0.023
23.074,44.702,0.009
39.026,36.91,-0.046
5.914,49.143,0.026
31.996,2.707,0.0
7.168,15.829,0.018
47.233,47.964,-0.003
26.092,21.969,-0.017
20.733,30.217,0.024
13.228,28.487,0.012
38.712,7.034,0.0
22.808,36.555,-0.01
28.422,2.916,0.028
0.939,26.898,0.031
30.882,27.632,-0.012
30.605,10.092,-0.014
30.847,37.521,-0.009
47.187,44.809,-0.026
34.091,48.953,-0.004
17.975,1.341,0.004
21.852,15.486,-0.036
34.882,46.241,-0.014
3.011,2.525,0.019
33.338,13.601,0.002
33.532,26.669,-0.044
10.519,37.01,0.004
6.446,11.403,0.018
15.771,15.017,0.021
18.186,9.727,0.018
28.51,22.153,-0.011
21.93,25.217,-0.012
49.419,44.961,-0.008
5.102,38.538,0.018
10.444,35.767,-0.021
8.065,28.633,-0.013
32.655,16.429,0.009
12.665,3.504,-0.008
23.316,12.94,-0.031
12.221,9.734,0.007
7.948,11.395,0.021
5.519,11.339,-0.015
32.816,21.527,-0.004
6.909,19.036,-0.006
9.829,16.852,0.001
18.436,44.062,0.017
41.05,10.137,0.007
4.855,8.183,-0.011
41.897,3.8,-0.013
4.805,46.243,0.01
48.823,9.717,-0.028
23.433,28.613,-0.02
48.838,18.686,0.006
30.242,27.765,0.009
36.963,32.128,-0.016
1.959,42.004,-0.004
14.14,25.363,0.028
6.01,16.362,-0.028
14.807,9.054,0.0
5.936,30.341,-0.022
15.899,6.6,0.024
20.713,42.79,-0.024
3.207,1.389,-0.007
34.624,42.265,-0.002
28.33,10.962,-0.013
13.269,24.393,-0.007
26.162,36.526,-0.001
4.697,39.208,0.012
28.797,20.089,-0.034
46.465,24.973,-0.005
15.928,1.479,-0.008
33.371,17.201,-0.008
6.59,13.079,0.032
35.816,19.503,-0.012
14.47,15.045,0.019
9.16,7.987,0.01
29.326,47.087,-0.009
